iteration	experiment	macro_roc_auc	log_loss
39	bound_geometry	0.5771268237934905	1.344101174613025
39	receptor_only_geometry	0.46182379349046015	1.4318606583062277
40	bound_geometry	0.3638832772166105	1.9725750875210761
40	receptor_only_geometry	0.4720482603815937	2.1630132193617992
41	bound_geometry	0.3630751964085297	1.9421193114861315
41	receptor_only_geometry	0.6134399551066217	1.217410799001935
42	bound_geometry	0.37139169472502803	2.1635055482194785
42	receptor_only_geometry	0.38837822671156	1.4965649694145047
43	bound_geometry	0.6056004489337824	1.2919055032329545
43	receptor_only_geometry	0.8316778900112233	0.757526349998799
44	bound_geometry	0.3714141414141414	1.6561684624870547
44	receptor_only_geometry	0.3237205387205387	2.472589394851742
45	bound_geometry	0.5494500561167228	1.6720561447104023
45	receptor_only_geometry	0.6231705948372616	1.0234827101664954
46	bound_geometry	0.372615039281706	1.5840263407990587
46	receptor_only_geometry	0.5084006734006734	2.0698292443163253
47	bound_geometry	0.5864421997755332	1.2709905442425828
47	receptor_only_geometry	0.4941245791245792	1.6347144500728155
48	bound_geometry	0.6872615039281706	1.0903905714417788
48	receptor_only_geometry	0.4370987654320988	2.2896462865261378
49	bound_geometry	0.5274971941638608	1.6096764929145615
49	receptor_only_geometry	0.5753703703703704	1.2410622011721852
50	bound_geometry	0.6735129068462401	1.0694523134774696
50	receptor_only_geometry	0.7709147025813693	0.8364221554732533
51	bound_geometry	0.23319865319865318	2.7205191497706003
51	receptor_only_geometry	0.23608866442199775	3.3110515181277425
52	bound_geometry	0.6113580246913579	1.4229852657833832
52	receptor_only_geometry	0.43592031425364763	1.714506070444192
53	bound_geometry	0.5627272727272726	1.299335218108547
53	receptor_only_geometry	0.5534848484848485	1.3484691998239193
54	bound_geometry	0.4388664421997755	2.0084409362300786
54	receptor_only_geometry	0.477996632996633	1.7488081615928739
55	bound_geometry	0.354635241301908	1.811279205416189
55	receptor_only_geometry	0.41514590347923686	2.010137425071537
