feature	class_a	class_b	n_paired_receptors	median_paired_difference_a_minus_b	paired_difference_ci_low	paired_difference_ci_high	wilcoxon_statistic	p_value	p_fdr	comparison
icl2_centroid_to_tm6_634	Gs	Gq/11	9	0.4638999999999988	-0.0127999999999985	1.7835	8.0	0.09765625	0.8306587837837838	Gs vs Gq/11
icl2_centroid_to_tm6_634	Gi/o	Gq/11	21	0.3658999999999999	0.0737999999999985	0.8746000000000009	75.0	0.1678066253662109	0.9823679526646932	Gi/o vs Gq/11
icl2_centroid_to_tm7_753	Gs	Gi/o	10	-0.0312999999999998	-0.437899999999999	0.5023462499999969	27.0	1.0	1.0	Gs vs Gi/o
icl2_centroid_to_tm7_753	Gs	Gq/11	9	0.2285000000000003	-0.7499000000000002	0.747600000000002	18.0	0.65234375	1.0	Gs vs Gq/11
icl2_centroid_to_tm7_753	Gi/o	Gq/11	21	0.2376000000000004	-0.3031000000000006	1.000899999999998	71.0	0.1280784606933593	0.8755115327380952	Gi/o vs Gq/11
icl2_end_to_end_distance	Gs	Gi/o	10	0.1937000000000006	-0.228299999999999	1.693950000000001	17.0	0.322265625	1.0	Gs vs Gi/o
icl2_end_to_end_distance	Gs	Gq/11	9	0.3170000000000001	0.2772000000000005	1.3033	0.0	0.00390625	0.548828125	Gs vs Gq/11
icl2_end_to_end_distance	Gi/o	Gq/11	21	-0.1440999999999999	-0.5196999999999985	0.1351999999999993	97.0	0.539189338684082	1.0	Gi/o vs Gq/11
icl2_generic_ca_count	Gs	Gi/o	10	0.0	0.0	0.0	0.0	1.0	1.0	Gs vs Gi/o
icl2_generic_ca_count	Gs	Gq/11	10	0.0	0.0	1.5	0.0	0.5	1.0	Gs vs Gq/11
icl2_generic_ca_count	Gi/o	Gq/11	22	0.0	0.0	0.0	1.0	0.6547208460185769	1.0	Gi/o vs Gq/11
icl2_helix_fraction	Gs	Gi/o	10	0.0	-0.125	0.0	4.0	0.75	1.0	Gs vs Gi/o
icl2_helix_fraction	Gs	Gq/11	10	0.0	-0.125	0.08335	7.0	1.0	1.0	Gs vs Gq/11
icl2_helix_fraction	Gi/o	Gq/11	22	0.0	0.0	0.0	12.5	0.2273769693895434	1.0	Gi/o vs Gq/11
icl2_longest_helix	Gs	Gi/o	10	-0.5	-1.0	0.0	5.5	0.40625	1.0	Gs vs Gi/o
icl2_longest_helix	Gs	Gq/11	10	-0.5	-1.0	0.0	5.0	0.375	1.0	Gs vs Gq/11
icl2_longest_helix	Gi/o	Gq/11	22	0.0	-0.5	0.0	22.0	0.2850494074026127	1.0	Gi/o vs Gq/11
icl2_mean_phi	Gs	Gi/o	10	-12.609250000000005	-30.3202	-5.091400000000007	3.0	0.009765625	0.768359375	Gs vs Gi/o
icl2_mean_phi	Gs	Gq/11	10	-13.334350000000004	-39.1934	1.2860000000000014	13.0	0.16015625	0.9783457880434784	Gs vs Gq/11
icl2_mean_phi	Gi/o	Gq/11	22	0.3969000000000022	-2.709044999999996	6.667500000000004	107.0	0.5445904731750488	1.0	Gi/o vs Gq/11
icl2_mean_psi	Gs	Gi/o	10	9.02925	1.4808999999999988	20.1692	4.0	0.013671875	0.768359375	Gs vs Gi/o
icl2_mean_psi	Gs	Gq/11	10	-2.407050000000001	-7.1258	20.8895	23.0	0.6953125	1.0	Gs vs Gq/11
icl2_mean_psi	Gi/o	Gq/11	22	-0.6836499999999983	-5.891299999999999	2.699299999999999	123.0	0.9239659309387208	1.0	Gi/o vs Gq/11
icl2_n_modeled	Gs	Gi/o	10	0.0	0.0	0.0	0.0	1.0	1.0	Gs vs Gi/o
icl2_n_modeled	Gs	Gq/11	10	0.0	0.0	1.5	0.0	0.5	1.0	Gs vs Gq/11
icl2_n_modeled	Gi/o	Gq/11	22	0.0	0.0	0.0	1.0	0.6547208460185769	1.0	Gi/o vs Gq/11
intracellular_cavity_asymmetry_proxy	Gs	Gi/o	10	0.1653500000000001	-0.6936	0.8570999999999991	25.0	0.845703125	1.0	Gs vs Gi/o
intracellular_cavity_asymmetry_proxy	Gs	Gq/11	10	0.1803999999999996	-0.0579500000000003	0.8808499999999997	12.0	0.130859375	0.8755115327380952	Gs vs Gq/11
intracellular_cavity_asymmetry_proxy	Gi/o	Gq/11	22	0.1377999999999994	-0.2466500000000002	0.3381000000000007	102.0	0.4434065818786621	1.0	Gi/o vs Gq/11
intracellular_cavity_complete_asymmetry	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_asymmetry	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_asymmetry	Gi/o	Gq/11	2	0.0672	0.0515	0.0829				Gi/o vs Gq/11
intracellular_cavity_complete_average_cross_section	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_average_cross_section	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_average_cross_section	Gi/o	Gq/11	2	7.750399999999999	-0.0576000000000007	15.5584				Gi/o vs Gq/11
intracellular_cavity_complete_bottleneck_area	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_bottleneck_area	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_bottleneck_area	Gi/o	Gq/11	2	4.2250000000000005	-2.535	10.985				Gi/o vs Gq/11
intracellular_cavity_complete_bottleneck_radius	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_bottleneck_radius	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_bottleneck_radius	Gi/o	Gq/11	2	0.47755	-0.3200999999999998	1.2752				Gi/o vs Gq/11
intracellular_cavity_complete_centroid_x	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_centroid_x	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_centroid_x	Gi/o	Gq/11	2	-0.2997999999999999	-0.4031	-0.1964999999999999				Gi/o vs Gq/11
intracellular_cavity_complete_centroid_y	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_centroid_y	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_centroid_y	Gi/o	Gq/11	2	0.1823000000000001	-0.1391999999999997	0.5038				Gi/o vs Gq/11
intracellular_cavity_complete_centroid_z	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_centroid_z	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_centroid_z	Gi/o	Gq/11	2	0.2620499999999999	0.2134999999999998	0.3106				Gi/o vs Gq/11
intracellular_cavity_complete_depth	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_depth	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_depth	Gi/o	Gq/11	2	-0.3249999999999993	-0.6499999999999986	0.0				Gi/o vs Gq/11
intracellular_cavity_complete_eccentricity	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_eccentricity	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_eccentricity	Gi/o	Gq/11	2	-0.0173499999999999	-0.0313999999999999	-0.0032999999999999				Gi/o vs Gq/11
intracellular_cavity_complete_max_inscribed_radius	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_max_inscribed_radius	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_max_inscribed_radius	Gi/o	Gq/11	2	0.7729999999999997	0.1032999999999999	1.4426999999999994				Gi/o vs Gq/11
intracellular_cavity_complete_maximum_width	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_maximum_width	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_maximum_width	Gi/o	Gq/11	2	0.6689500000000006	0.5990000000000002	0.738900000000001				Gi/o vs Gq/11
intracellular_cavity_complete_mouth_area	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_mouth_area	Gs	Gq/11	0							Gs vs Gq/11
intracellular_cavity_complete_mouth_area	Gi/o	Gq/11	2	13.097499999999997	11.829999999999998	14.364999999999997				Gi/o vs Gq/11
intracellular_cavity_complete_principal_axis_1_z_alignment	Gs	Gi/o	0							Gs vs Gi/o
intracellular_cavity_complete_principal_axis_1_z_alignment	Gs	Gq/11	0							Gs vs Gq/11
