feature	class_a	class_b	n_paired_receptors	median_paired_difference_a_minus_b	paired_difference_ci_low	paired_difference_ci_high	wilcoxon_statistic	p_value	p_fdr	comparison
y753_chi1	Gs	Gq/11	10	-0.774799999999999	-13.194909999999991	11.0614	25.0	0.845703125	1.0	Gs vs Gq/11
y753_chi1	Gi/o	Gq/11	22	2.887100000000004	-3.6293999999999897	9.586100000000002	110.0	0.6101517677307129	1.0	Gi/o vs Gq/11
y753_chi2	Gs	Gi/o	10	56.1649	-67.87055000000001	142.61701875	20.0	0.4921875	1.0	Gs vs Gi/o
y753_chi2	Gs	Gq/11	10	15.770049999999998	-86.17645000000002	97.3781	18.0	0.375	1.0	Gs vs Gq/11
y753_chi2	Gi/o	Gq/11	21	-3.690100000000001	-128.90609999999998	33.53730000000001	105.0	0.7334699630737305	1.0	Gi/o vs Gq/11
y753_displacement	Gs	Gi/o	10	-0.1947999999999998	-0.3551000000000002	0.0769999999999999	14.0	0.193359375	1.0	Gs vs Gi/o
y753_displacement	Gs	Gq/11	10	-0.0272000000000001	-0.2260999999999999	0.2244000000000001	27.0	1.0	1.0	Gs vs Gq/11
y753_displacement	Gi/o	Gq/11	22	0.0392999999999994	-0.1961000000000003	0.1775999999999999	122.0	0.898735523223877	1.0	Gi/o vs Gq/11
y753_y558_distance	Gs	Gi/o	10	0.2502499999999994	-0.0175	0.6079000000000003	12.0	0.130859375	0.8755115327380952	Gs vs Gi/o
y753_y558_distance	Gs	Gq/11	10	0.0531000000000001	-0.1389000000000013	0.3498999999999999	19.0	0.431640625	1.0	Gs vs Gq/11
y753_y558_distance	Gi/o	Gq/11	22	0.0312999999999998	-0.1198000000000001	0.2889924999999996	110.0	0.6101517677307129	1.0	Gi/o vs Gq/11
y753_y558_min_distance	Gs	Gi/o	10	0.2611999999999996	0.0336137499999997	0.3875999999999999	11.0	0.10546875	0.8306587837837838	Gs vs Gi/o
y753_y558_min_distance	Gs	Gq/11	10	0.1237499999999995	-0.0116999999999998	0.34785	10.0	0.083984375	0.8306587837837838	Gs vs Gq/11
y753_y558_min_distance	Gi/o	Gq/11	22	-0.0247499999999998	-0.2248000000000001	0.5956000000000001	105.0	0.5028400421142578	1.0	Gi/o vs Gq/11
year_of_deposition	Gs	Gi/o	10	0.0	-0.5	0.5	5.0	1.0	1.0	Gs vs Gi/o
year_of_deposition	Gs	Gq/11	10	0.5	0.0	1.0	7.0	0.359375	1.0	Gs vs Gq/11
year_of_deposition	Gi/o	Gq/11	22	0.0	0.0	0.0	7.5	0.1360864514005753	0.8893091358967833	Gi/o vs Gq/11
