receptor_name	uniprot	species	hauser_uniprot_code	hauser_iuphar_name	direct_human_accession_match	supported_Gs	supported_Gi_o	supported_Gq_11	supported_G12_13	n_supported_modeled_families	n_supported_four_families	supported_2plus_modeled_families
gpr52_human	Q9Y2T5	Homo sapiens	GPR52	GPR52	True	0.0	0.0	0.0	0.0	0.0	0.0	False
gpr61_human	Q9BZJ8	Homo sapiens	GPR61	GPR61	True	0.0	0.0	0.0	0.0	0.0	0.0	False
gpr6_human	P46095	Homo sapiens	GPR6	GPR6	True	1.0	1.0	0.0	0.0	2.0	2.0	True
gpr84_human	Q9NQS5	Homo sapiens	GPR84	GPR84	True	0.0	1.0	0.0	0.0	1.0	1.0	False
gpr88_human	Q9GZN0	Homo sapiens	GPR88	GPR88	True	0.0	0.0	0.0	0.0	0.0	0.0	False
grpr_human	P30550	Homo sapiens	GRPR	BB2	True	0.0	0.0	1.0	0.0	1.0	1.0	False
hcar2_human	Q8TDS4	Homo sapiens	HCAR2	HCA2	True	0.0	1.0	0.0	0.0	1.0	1.0	False
hcar3_human	P49019	Homo sapiens	HCAR3	HCA3	True	0.0	1.0	0.0	0.0	1.0	1.0	False
hrh1_human	P35367	Homo sapiens	HRH1	H1	True	1.0	1.0	1.0	1.0	3.0	4.0	True
hrh2_human	P25021	Homo sapiens	HRH2	H2	True	1.0	1.0	1.0	0.0	3.0	3.0	True
hrh3_human	Q9Y5N1	Homo sapiens	HRH3	H3	True	0.0	1.0	0.0	0.0	1.0	1.0	False
hrh4_human	Q9H3N8	Homo sapiens	HRH4	H4	True	0.0	1.0	0.0	0.0	1.0	1.0	False
kissr_human	Q969F8	Homo sapiens	KISSR	Kisspeptin	True	0.0	0.0	1.0	0.0	1.0	1.0	False
lpar1_human	Q92633	Homo sapiens	LPAR1	LPA1	True	0.0	1.0	1.0	1.0	2.0	3.0	True
lshr_human	P22888	Homo sapiens	LSHR	LH	True	1.0	0.0	1.0	0.0	2.0	2.0	True
lt4r1_human	Q15722	Homo sapiens	LT4R1	BLT1	True	0.0	1.0	1.0	1.0	2.0	3.0	True
mc3r_human	P41968	Homo sapiens	MC3R	MC3	True	1.0	1.0	0.0	0.0	2.0	2.0	True
mc4r_human	P32245	Homo sapiens	MC4R	MC4	True	1.0	1.0	0.0	0.0	2.0	2.0	True
mc5r_human	P33032	Homo sapiens	MC5R	MC5	True	1.0	0.0	0.0	0.0	1.0	1.0	False
mchr1_human	Q99705	Homo sapiens	MCHR1	MCH1	True	1.0	1.0	1.0	0.0	3.0	3.0	True
mchr2_human	Q969V1	Homo sapiens	MCHR2	MCH2	True	0.0	0.0	1.0	0.0	1.0	1.0	False
mrgrd_human	Q8TDS7	Homo sapiens	MRGRD	MRGPRD	True	0.0	1.0	1.0	0.0	2.0	2.0	True
mrgx1_human	Q96LB2	Homo sapiens	MRGX1	MRGPRX1	True	0.0	0.0	1.0	0.0	1.0	1.0	False
mrgx2_human	Q96LB1	Homo sapiens	MRGX2	MRGPRX2	True	0.0	1.0	1.0	0.0	2.0	2.0	True
mrgx4_human	Q96LA9	Homo sapiens	MRGX4	MRGPRX4	True	0.0	0.0	1.0	0.0	1.0	1.0	False
mshr_human	Q01726	Homo sapiens	MSHR	MC1	True	1.0	0.0	0.0	0.0	1.0	1.0	False
mtlr_human	O43193	Homo sapiens	MTLR	motilin	True	0.0	0.0	1.0	1.0	1.0	2.0	False
mtr1a_human	P48039	Homo sapiens	MTR1A	MT1	True	0.0	1.0	1.0	0.0	2.0	2.0	True
mtr1b_human	P49286	Homo sapiens	MTR1B	MT2	True	0.0	1.0	0.0	0.0	1.0	1.0	False
nk1r_human	P25103	Homo sapiens	NK1R	NK1	True	1.0	0.0	1.0	0.0	2.0	2.0	True
nk2r_human	P21452	Homo sapiens	NK2R	NK2	True	1.0	0.0	1.0	0.0	2.0	2.0	True
nk3r_human	P29371	Homo sapiens	NK3R	NK3	True	0.0	0.0	1.0	0.0	1.0	1.0	False
nmbr_human	P28336	Homo sapiens	NMBR	BB1	True	0.0	0.0	1.0	0.0	1.0	1.0	False
nmur1_human	Q9HB89	Homo sapiens	NMUR1	NMU1	True	0.0	0.0	1.0	0.0	1.0	1.0	False
nmur2_human	Q9GZQ4	Homo sapiens	NMUR2	NMU2	True	0.0	0.0	1.0	0.0	1.0	1.0	False
npy1r_human	P25929	Homo sapiens	NPY1R	Y1	True	0.0	1.0	0.0	0.0	1.0	1.0	False
npy2r_human	P49146	Homo sapiens	NPY2R	Y2	True	0.0	1.0	1.0	0.0	2.0	2.0	True
npy4r_human	P50391	Homo sapiens	NPY4R	Y4	True	0.0	1.0	1.0	0.0	2.0	2.0	True
ntr1_human	P30989	Homo sapiens	NTR1	NTS1	True	1.0	1.0	1.0	0.0	3.0	3.0	True
ntr1_rat	P20789	Rattus norvegicus			False							
oprd_human	P41143	Homo sapiens	OPRD	𝛅	True	0.0	1.0	1.0	0.0	2.0	2.0	True
oprk_human	P41145	Homo sapiens	OPRK	𝜅	True	0.0	1.0	0.0	1.0	1.0	2.0	False
oprm_human	P35372	Homo sapiens	OPRM	μ	True	0.0	1.0	1.0	0.0	2.0	2.0	True
oprm_mouse	P42866	Mus musculus			False							
oprx_human	P41146	Homo sapiens	OPRX	NOP	True	0.0	1.0	1.0	0.0	2.0	2.0	True
opsd_bovin	P02699	Bos taurus			False							
opsd_human	P08100	Homo sapiens	OPSD	Rhodopsin	True	0.0	0.0	0.0	0.0	0.0	0.0	False
opsr_human	P04000	Homo sapiens	OPSR	OPN1LW	True	0.0	0.0	0.0	0.0	0.0	0.0	False
ox2r_human	O43614	Homo sapiens	OX2R	OX2	True	1.0	1.0	1.0	1.0	3.0	4.0	True
oxyr_human	P30559	Homo sapiens	OXYR	OT	True	0.0	1.0	1.0	0.0	2.0	2.0	True
p2ry1_human	P47900	Homo sapiens	P2RY1	P2Y1	True	0.0	1.0	1.0	0.0	2.0	2.0	True
p2y12_human	Q9H244	Homo sapiens	P2Y12	P2Y12	True	0.0	0.0	0.0	0.0	0.0	0.0	False
par1_human	P25116	Homo sapiens	PAR1	PAR1	True	0.0	1.0	1.0	1.0	2.0	3.0	True
pd2r2_human	Q9Y5Y4	Homo sapiens	PD2R2	DP2	True	0.0	1.0	0.0	0.0	1.0	1.0	False
pe2r2_human	P43116	Homo sapiens	PE2R2	EP2	True	1.0	0.0	0.0	0.0	1.0	1.0	False
pe2r3_human	P43115	Homo sapiens	PE2R3	EP3	True	0.0	1.0	1.0	1.0	2.0	3.0	True
pe2r4_human	P35408	Homo sapiens	PE2R4	EP4	True	1.0	1.0	0.0	0.0	2.0	2.0	True
pf2r_human	P43088	Homo sapiens	PF2R	FP	True	1.0	1.0	1.0	1.0	3.0	4.0	True
pi2r_human	P43119	Homo sapiens	PI2R	IP	True	1.0	1.0	1.0	0.0	3.0	3.0	True
