all_folds_converged	balanced_accuracy	experiment	log_loss	macro_pr_auc	macro_roc_auc	matthews_correlation	n	n_predictions	n_receptors	valid_folds	validation	task_id	runtime_seconds	balanced_accuracy_ci_high	balanced_accuracy_ci_low	frame_subset	macro_pr_auc_ci_high	macro_pr_auc_ci_low	matthews_correlation_ci_high	matthews_correlation_ci_low	bootstrap_valid_iterations	macro_roc_auc_ci_low	macro_roc_auc_ci_high	log_loss_ci_low	log_loss_ci_high
True	0.4683684794672586	interface_plus_taxonomy	1.040442105112331	0.4631169643366288	0.6456335820313122	0.22201120714119948	207	207	169	5	sequence_cluster_40_grouped_5fold	primary__interface_plus_taxonomy__seq40	6.902082204818726			all					2000	0.5956005253276524	0.6962318985783726	0.9680427206022703	1.1150372347253015
True	0.5273651308612463	interface_plus_taxonomy	1.0293538204444788	0.5180833373132702	0.6728570370670547	0.286300358456471	207	207	169	5	sequence_cluster_50_grouped_5fold	primary__interface_plus_taxonomy__seq50	9.836153984069824			all					2000	0.6196873294701273	0.7262001875126525	0.9286840710548905	1.133106612144925
True	0.6128826470113928	interface_sequence	0.9642193115077707	0.6496031303036881	0.7792521748072927	0.4087202990135939	207	207	169	5	receptor_grouped_5fold	primary__interface_sequence__receptor	6.765402793884277			all					2000	0.7293452607322284	0.8270463534107261	0.8139187572242235	1.12668984126484
True	0.3264250547824355	interface_sequence	1.09636476904746	0.3809604108458335	0.5520285900839766	-0.01117437548889428	207	207	169	2	sequence_cluster_30_grouped_5fold	primary__interface_sequence__seq30	3.527103900909424			all					2000	0.5021540419873052	0.6062794050139504	1.0577600109642151	1.141655020110489
True	0.4653376590113549	interface_sequence	1.1871638472739852	0.4329397629253134	0.6099534843591626	0.21276776184527638	207	207	169	5	sequence_cluster_40_grouped_5fold	primary__interface_sequence__seq40	6.7361366748809814			all					2000	0.5604450622206023	0.664275528020623	1.0856434537326811	1.2966618867283308
True	0.4707661003443468	interface_sequence	1.2225946181091363	0.46735020878009137	0.6485941965033297	0.21339014667221753	207	207	169	5	sequence_cluster_50_grouped_5fold	primary__interface_sequence__seq50	8.579739809036255			all					2000	0.5905869688015113	0.7025159586429891	1.0624466343903856	1.4114402067594958
True	0.5898811387157669	noninterface_sequence	0.9157447697801985	0.5778708262612323	0.737386802900032	0.35906720003656634	207	207	169	5	receptor_grouped_5fold	primary__noninterface_sequence__receptor	9.679998636245728			all					2000	0.6907688884638028	0.7829055108352205	0.8427133149556642	0.9918090235523599
True	0.36475615887380597	noninterface_sequence	1.4172178733837757	0.38370006560107095	0.5561433000702988	0.07801907187745312	207	207	169	2	sequence_cluster_30_grouped_5fold	primary__noninterface_sequence__seq30	3.726217746734619			all					2000	0.5001323536452428	0.6132106501485112	1.2555100508719919	1.576525526118861
True	0.3834248745458513	noninterface_sequence	1.1340867468441955	0.3790406900904588	0.5581870099171664	0.05919671142071137	207	207	169	5	sequence_cluster_40_grouped_5fold	primary__noninterface_sequence__seq40	8.501675605773926			all					2000	0.5037762550325986	0.6087632339819729	1.0553816712322748	1.217902922305036
True	0.38193080812392693	noninterface_sequence	1.1803845079547255	0.3699428650276492	0.5548622688028725	0.05043814122450046	207	207	169	5	sequence_cluster_50_grouped_5fold	primary__noninterface_sequence__seq50	5.231497526168823			all					2000	0.5067285275066872	0.6034239368824076	1.0968089800007912	1.2677112078854036
True	0.6386588500905926	sequence_plus_geometry	0.7938670425481588	0.6878371965942899	0.8156277097077642	0.46337100212078736	207	207	169	5	receptor_grouped_5fold	primary__sequence_plus_geometry__receptor	13.50365662574768			all					2000	0.7703629615107683	0.8586083280842163	0.7084643577754393	0.8797581369631208
True	0.3251823709648349	sequence_plus_geometry	1.6221562190213605	0.33857807764614356	0.5089211766702727	-0.020493605081152208	207	207	169	2	sequence_cluster_30_grouped_5fold	primary__sequence_plus_geometry__seq30	6.364299058914185			all					2000	0.4515218085187502	0.5695027610973707	1.4092244315880944	1.8428220030167657
True	0.4890150544978514	sequence_plus_geometry	0.9981961034820815	0.5152436986504577	0.6831660876288709	0.22791443754235377	207	207	169	5	sequence_cluster_40_grouped_5fold	primary__sequence_plus_geometry__seq40	11.976306676864624			all					2000	0.6228324606509174	0.7372910265760695	0.9136187436511654	1.0879898469395515
True	0.5535136647789256	sequence_plus_geometry	0.9182641028459154	0.5862577733244675	0.7352712269292413	0.3445119922012242	207	207	169	5	sequence_cluster_50_grouped_5fold	primary__sequence_plus_geometry__seq50	10.444178342819214			all					2000	0.6846548132827663	0.7852158819467089	0.8251274734898157	1.009087320647138
True	0.6803403403403404	endpoint_geometry_single_transducer	0.7442014845838709	0.7126770447335158	0.8310719814034933	0.5287318827474023	135	135	135	5	single_transducer_receptor_grouped_5fold	single__endpoint_geometry	6.592878580093384			single_transducer_receptors					2000	0.7681799877708589	0.89178201712963	0.6036242425096556	0.9015664904594415
True	0.7793993993993995	full_sequence_single_transducer	0.6262651071741872	0.7900220493797775	0.8786640732469512	0.6869905421811249	135	135	135	5	single_transducer_receptor_grouped_5fold	single__full_sequence	8.021179914474487			single_transducer_receptors					2000	0.8156109175167955	0.9305928332510796	0.4947250371305918	0.7831395165057703
True	0.7302102102102103	interface_sequence_single_transducer	0.5938913120967404	0.8299843651025928	0.9026514691542015	0.6073620246880902	135	135	135	5	single_transducer_receptor_grouped_5fold	single__interface_sequence	6.0644636154174805			single_transducer_receptors					2000	0.8512495918807532	0.9467003266446785	0.43332118309806184	0.771570694917741
