population	feature	n_receptors	median_delta	q1	q3	mean_delta	positive	negative	ties	sign_test_p	captured_class	n_units	sign_test_q
P1_terminal_strict	pif_550_644_distance		-0.1733000000000002	-0.3738999999999999	0.2112999999999996	-0.1168400000000002	2	3			Gq/11	5.0	
P1_terminal_strict	pif_550_644_distance		0.1120499999999999	-0.1164000000000005	0.2396999999999991	0.058469999999999786	3	2			Gs	5.0	
P1_terminal_strict	y753_displacement	15.0	0.17169999999999996	-0.050524999999999445	0.3728499999999997	0.14090000000000008	9	6	0.0	0.60723876953125			0.8349533081054688
P1_terminal_strict	y753_displacement		0.14069999999999974	-0.01329999999999985	0.3846125	0.19024375000000004	5	2			Gi/o	8.0	
P1_terminal_strict	y753_displacement		0.3648999999999995	0.0	0.5226000000000006	0.29312000000000005	3	1			Gq/11	5.0	
P1_terminal_strict	y753_displacement		-0.2016	-0.2873000000000001	-0.0478499999999995	-0.11138999999999992	1	4			Gs	5.0	
P1_terminal_strict	icl2_helix_fraction	14.0	0.0	-0.046875	0.0	0.009442857142857143	2	4	8.0	0.6875			0.8402777777777778
P1_terminal_strict	icl2_helix_fraction		0.0	0.0	0.0	0.03317142857142857	1	1			Gi/o	7.0	
P1_terminal_strict	icl2_helix_fraction		-0.05	-0.10625000000000001	0.0	-0.05625	0	2			Gq/11	4.0	
P1_terminal_strict	icl2_helix_fraction		0.0	0.0	0.0	0.0	1	1			Gs	5.0	
P1_terminal_strict	icl2_centroid_to_tm6_634	13.0	0.1818500000000007	-0.2080999999999981	1.2652	1.0942807692307694	9	4	0.0	0.266845703125			0.6638671875
P1_terminal_strict	icl2_centroid_to_tm6_634		0.16307500000000097	0.0524250000000021	1.7193875000000003	1.3243083333333339	5	0			Gi/o	6.0	
P1_terminal_strict	icl2_centroid_to_tm6_634		0.528550000000001	-0.4232999999999984	1.3052750000000009	0.35342500000000143	2	2			Gq/11	4.0	
P1_terminal_strict	icl2_centroid_to_tm6_634		-0.3551999999999999	-0.4243000000000023	0.5267499999999998	0.9664499999999989	2	3			Gs	5.0	
P1_terminal_strict	intracellular_cavity_core_volume	11.0	65.49810000000002	29.316249999999854	164.5690249999999	230.33549545454537	9	2	0.0	0.0654296875			0.23990885416666666
P1_terminal_strict	intracellular_cavity_core_volume		55.61160000000018	-19.49834999999996	100.10080000000005	147.04207857142865	4	2			Gi/o	7.0	
P1_terminal_strict	intracellular_cavity_core_volume		254.98934999999983	190.93307499999992	319.04562499999975	254.98934999999983	2	0			Gq/11	2.0	
P1_terminal_strict	intracellular_cavity_core_volume		65.49810000000002	34.259499999999775	591.473625	395.3227166666665	3	0			Gs	3.0	
P1_terminal_strict	intracellular_cavity_core_mouth_area	11.0	2.9575000000000102	-2.2181250000000006	12.358125000000015	19.146931818181823	7	4	0.0	0.548828125			0.8349533081054688
P1_terminal_strict	intracellular_cavity_core_mouth_area		0.0	-3.6968749999999986	1.9012500000000045	10.260714285714288	3	3			Gi/o	7.0	
P1_terminal_strict	intracellular_cavity_core_mouth_area		15.632500000000007	14.576250000000009	16.688750000000006	15.632500000000007	2	0			Gq/11	2.0	
P1_terminal_strict	intracellular_cavity_core_mouth_area		11.19625000000002	5.175625000000011	58.62187500000001	38.79958333333334	2	1			Gs	3.0	
